product_id,product_name,category,brand,unit_cost,unit_price,supplier_id,lead_time_days,reorder_point,safety_stock,created_at
PRD00001,Banana 1L,Fruits & Vegetables,FreshMart,401.38,518.53,SUP0224,17,180,49,2021-11-22
PRD00002,Croissant 250ml,Bakery,FreshMart,236.24,351.45,SUP0921,26,274,61,2025-09-07
PRD00003,Aluminum Foil Box,Household,GreenHarvest,228.18,339.63,SUP0927,10,160,14,2024-04-23
PRD00004,Onion 200g,Fruits & Vegetables,ValuePlus,47.08,55.99,SUP0371,18,204,73,2023-11-08
PRD00005,Potato 500g,Fruits & Vegetables,DailyChoice,141.16,223.03,SUP0324,22,203,9,2021-02-15
PRD00006,Muffin Pack,Bakery,PrimeFoods,364.36,483.17,SUP0897,20,47,43,2021-10-29
PRD00007,Aluminum Foil 100g,Household,HealthySelect,487.53,757.37,SUP0311,9,234,70,2024-04-14
PRD00008,Soup Mix 1L,Packaged Foods,SuperFresh,81.27,102.6,SUP0286,30,190,17,2024-11-01
PRD00009,Fabric Softener Pack,Cleaning Supplies,PremiumSelect,218.15,260.19,SUP0465,28,277,73,2022-03-22
PRD00010,Onion 500ml,Fruits & Vegetables,HealthySelect,161.15,229.19,SUP0971,3,165,95,2023-11-05
PRD00011,Bleach Pack,Cleaning Supplies,ValuePlus,452.83,672.66,SUP0287,17,99,71,2024-12-24
PRD00012,Cleaning Wipes 1L,Cleaning Supplies,SuperFresh,320.4,483.66,SUP0529,30,272,53,2022-10-14
PRD00013,Croissant 250ml,Bakery,SmartChoice,26.69,37.42,SUP0732,7,45,44,2022-06-01
PRD00014,Energy Drink 500g,Beverages,DailyChoice,479.64,766.99,SUP0264,30,235,74,2021-03-09
PRD00015,Bleach 1L,Cleaning Supplies,QuickBite,164.7,226.06,SUP0209,4,89,58,2021-04-05
PRD00016,Lemonade 500ml,Beverages,EcoLiving,479.73,641.16,SUP0523,5,258,69,2024-08-31
PRD00017,Moisturizer 500ml,Personal Care,QuickBite,222.6,346.72,SUP0246,6,295,38,2021-06-10
PRD00018,Carrot 500ml,Fruits & Vegetables,GreenHarvest,343.97,397.76,SUP0987,29,260,93,2022-02-20
PRD00019,Carrot 500ml,Fruits & Vegetables,PureLife,222.18,285.73,SUP0940,30,191,100,2023-10-30
PRD00020,Cookies Pack,Snacks,UrbanFresh,379.23,567.12,SUP0182,19,100,14,2024-06-09
PRD00021,Cheese 750g,Dairy,HomeEssentials,432.49,682.15,SUP0603,10,289,64,2023-10-05
PRD00022,Face Wash 250g,Personal Care,ValuePlus,245.11,284.46,SUP0113,24,48,91,2024-01-16
PRD00023,Apple Juice 100g,Beverages,QuickBite,135.29,172.07,SUP0674,3,123,39,2024-05-11
PRD00024,Apple 750g,Fruits & Vegetables,GreenHarvest,456.98,555.53,SUP0867,27,282,52,2023-06-23
PRD00025,Spinach 750ml,Fruits & Vegetables,NaturePlus,279.61,373.99,SUP0949,17,101,18,2023-06-05
PRD00026,Cupcake 500g,Bakery,MegaStore,168.31,212.39,SUP0005,22,136,7,2022-08-09
PRD00027,Bagel 100g,Bakery,SmartChoice,452.65,674.58,SUP0358,2,57,60,2024-10-19
PRD00028,Disinfectant Spray 250g,Cleaning Supplies,MegaStore,388.27,535.67,SUP0090,16,33,92,2025-11-07
PRD00029,Soap 500ml,Personal Care,EcoLiving,97.86,143.33,SUP0501,10,149,28,2025-03-15
PRD00030,Cleaning Wipes 750g,Cleaning Supplies,HealthySelect,93.59,127.85,SUP0313,21,49,9,2023-05-19
PRD00031,Cookies 250ml,Snacks,GreenHarvest,337.33,531.3,SUP0577,20,34,44,2022-10-31
PRD00032,Aluminum Foil 500ml,Household,HomeEssentials,348.65,446.21,SUP0453,20,248,6,2023-08-25
PRD00033,Trash Bags 250ml,Household,PremiumSelect,143.21,169.93,SUP0610,15,199,65,2021-10-16
PRD00034,Breakfast Cereal 750g,Packaged Foods,QuickBite,292.83,442.93,SUP0461,12,251,9,2024-10-24
PRD00035,Protein Bar 750ml,Snacks,SuperFresh,432.27,604.61,SUP0447,28,20,67,2021-05-15
PRD00036,Bun 250ml,Bakery,EcoLiving,265.73,328.6,SUP0558,30,273,68,2025-07-05
PRD00037,Peanuts 200g,Snacks,PureHarvest,121.73,192.69,SUP0486,20,272,100,2023-08-29
PRD00038,Floor Cleaner 200g,Cleaning Supplies,HappyHome,105.82,161.7,SUP0796,24,214,46,2022-05-17
PRD00039,Trash Bags 250g,Household,HappyHome,59.59,68.9,SUP0883,7,235,40,2023-05-22
